active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.033819000000000043,15,,8,9,False,,False,,ends,0,0,8,418,0,0,0,0,,22,0,,,119,history_ends8_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.033834041969385
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.03125500000000003,15,,8,9,False,,False,,ends,0,0,16,418,0,0,0,0,,22,0,,,119,history_ends16_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.0312895419774577
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.01703699999999997,10,,6,6,False,,False,,,,,,,,,0,0,,17,0,,,123,range_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.01704070798587054
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.019263999999999948,10,,6,6,False,,False,,first,0,0,8,167,0,0,0,0,,17,0,,,123,history_first8_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.019264040980488062
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.01981999999999995,10,,6,6,False,,False,,ends,0,0,8,248,0,0,0,0,,17,0,,,123,history_ends8_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.019820083980448544
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.020206999999999864,10,,6,6,False,,False,,ends,0,0,16,248,0,0,0,0,,17,0,,,123,history_ends16_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.020289790991228074
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.022842999999999947,12,,6,7,False,,False,,,,,,,,,0,0,,19,0,,,117,range_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.022872375033330172
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.02550299999999983,12,,6,7,False,,False,,first,0,0,8,246,0,0,0,0,,19,0,,,117,history_first8_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.025509583007078618
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.0264660000000001,12,,6,7,False,,False,,ends,0,0,8,362,0,0,0,0,,19,0,,,117,history_ends8_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.026487042021472007
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.026283999999999974,12,,6,7,False,,False,,ends,0,0,16,362,0,0,0,0,,19,0,,,117,history_ends16_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.026301875011995435
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,15,10,136,1.0,,,base,0,0.020062000000000024,10,,1,6,False,,False,,,,,,,,,0,0,,17,0,,,119,range_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.020062040945049375
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,15,10,136,1.0,,,base,0,0.020805000000000184,10,,1,6,False,,False,,first,0,0,8,59,0,0,0,0,,17,0,,,119,history_first8_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.0208820000407286
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,15,10,136,1.0,,,base,0,0.02158899999999986,10,,1,6,False,,False,,ends,0,0,8,92,0,0,0,0,,17,0,,,119,history_ends8_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.021615459001623094
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,15,10,136,1.0,,,base,0,0.02149600000000018,10,,1,6,False,,False,,ends,0,0,16,92,0,0,0,0,,17,0,,,119,history_ends16_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.021496041968930513
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,22,15,158,1.0,,,base,0,0.032285999999999815,15,,1,8,False,,False,,,,,,,,,0,0,,22,0,,,134,range_area7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03232387499883771
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,22,15,158,1.0,,,base,0,0.036645999999999956,15,,1,8,False,,False,,first,0,0,8,522,0,0,0,0,,22,0,,,134,history_first8_area7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03665170801104978
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,22,15,158,1.0,,,base,0,0.03933600000000004,15,,1,8,False,,False,,ends,0,0,8,737,0,0,0,0,,22,0,,,134,history_ends8_area7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03940758400131017
