active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,8,0,,19,15,155,1.0,,,arc,0,0.031214000000000075,,15,,7,11,False,,,,,False,,0,0,,0,0,,,,134,service_free1_area7,,,[],269,12791.228515379411,0,52.021972173615914,0.0,8,,,,229.28304686666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,free,22,1.0,0.0,35,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3439.245703,,,True,0.03122574998997152
6,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,6,6,,18,15,160,1.0,,,arc,0,0.03370200000000012,,15,,9,12,False,,,,,False,,0,0,,0,0,,,,140,service_locked1_area7,,,[],312,12163.012276889123,0,39.07166846945438,0.0,6,,,,222.90683033333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,locked,22,1.0,0.0,35,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,127,3343.602455,,,True,0.03372320800554007
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,,10,10,135,1.0,,,base,0,0.017498000000000014,,10,,6,6,False,,,,,False,,0,0,,17,0,,,,123,range_area7,,,[],,11228.036691091005,0,25.521340928374684,0.0,4,,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,1.0,,,,,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.01750274997903034
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,,10,10,135,1.0,,,arc,0,0.017670999999999992,,10,,6,6,False,,,,,False,,0,0,,0,0,,,,123,service_free0_area7,,,[],0,11228.036691091005,0,25.521340928374684,0.0,4,,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,free,17,0.0,0.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.017670666973572224
6,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,3,,11,10,124,1.0,,,arc,0,0.019762999999999975,,10,,5,6,False,,,,,False,,0,0,,0,0,,,,111,service_free1_area7,,,[],85,11247.844034862917,0,28.549077377362543,0.0,5,,,,296.3568805,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,free,17,1.0,0.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,106,2963.568805,,,True,0.019807333999779075
4,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,2,,11,10,138,1.0,,,arc,0,0.021268999999999982,,10,,5,6,False,,,,,False,,0,0,,0,0,,,,125,service_locked1_area7,,,[],157,10749.21263168744,0,19.73519309679613,0.0,5,,,,294.5842523,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,2945.842523,,,True,0.021270084020216018
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,,13,12,132,1.0,,,base,0,0.022952000000000083,,12,,6,7,False,,,,,False,,0,0,,19,0,,,,117,range_area7,,,[],,11457.765426791182,0,41.17540470974342,0.0,6,,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,1.0,,,,,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.02298025001073256
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,,13,12,132,1.0,,,arc,0,0.023592000000000057,,12,,6,7,False,,,,,False,,0,0,,0,0,,,,117,service_free0_area7,,,[],0,11457.765426791182,0,41.17540470974342,0.0,6,,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,0.5,free,19,0.0,0.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.023608708987012506
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,,13,12,132,1.0,,,arc,0,0.02573099999999995,,12,,6,7,False,,,,,False,,0,0,,0,0,,,,117,service_free1_area7,,,[],177,11457.765426791182,0,41.17540470974342,0.0,6,,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,0.5,free,19,1.0,0.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.02574329200433567
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,8,6,,15,12,137,1.0,,,arc,0,0.028325000000000156,,12,,4,7,False,,,,,False,,0,0,,0,0,,,,120,service_locked1_area7,,,[],161,11864.82814287642,0,43.14236062056853,0.0,8,,,,262.9138021666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,0.5,locked,19,1.0,0.0,23,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3154.965626,,,True,0.02832479204516858
