candidate,x,y,distance_unknown_m,initial_error,second_error,received,posterior_outer_radius_m,move_measure_s,universally_safe_certificate
guessed_distance_orthogonal,1000.0,1000.0,750.0,-1.0,1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,0.0,-1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,0.0,-0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,0.0,0.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,0.0,0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,0.0,1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,1.0,-1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,1.0,-0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,1.0,0.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,1.0,0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,750.0,1.0,1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,-1.0,-1.0,True,24.93209235546974,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,-1.0,-0.5,True,24.933991729415066,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,-1.0,0.0,True,24.939691009267797,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,-1.0,0.5,True,25.15509648111622,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,-1.0,1.0,True,25.37854214117378,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,0.0,-1.0,True,24.932093115179523,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,0.0,-0.5,True,24.934068468179,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,0.0,0.0,True,24.939843773869885,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,0.0,0.5,True,25.159527655962847,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,0.0,1.0,True,25.383050466633396,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,1.0,-1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,1.0,-0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,1.0,0.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,1.0,0.5,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1000.0,1.0,1.0,False,750.2331037494384,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,-1.0,-1.0,True,32.28567910163044,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,-1.0,-0.5,True,32.6323060247134,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,-1.0,0.0,True,32.985205979427334,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,-1.0,0.5,True,33.34453368611336,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,-1.0,1.0,True,33.71044956735911,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,0.0,-1.0,True,32.08745077575814,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,0.0,-0.5,True,32.43050804839751,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,0.0,0.0,True,32.779751158251926,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,0.0,0.5,True,33.13533159921233,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,0.0,1.0,True,33.49740646463898,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,1.0,-1.0,True,31.884524630596104,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,1.0,-0.5,True,32.223940852151095,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,1.0,0.0,True,32.56945463162789,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,1.0,0.5,True,32.921214184983036,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1250.0,1.0,1.0,True,33.279373225042136,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1500.0,-1.0,-1.0,True,33.59394395556117,287.842712474619,False
guessed_distance_orthogonal,1000.0,1000.0,1500.0,-1.0,-0.5,True,30.678193800755015,287.842712474619,False
