intersection_angle_deg,error1,error2,pure_wedge_status,pure_wedge_diameter_m,pure_wedge_mec_radius_m,with_public_prior_outer_radius_m,certifies_20m,ray_intersection_error_m
30,-1.0,-1.0,bounded,135.43668977056566,67.71834488528283,68.40152850343269,False,18.068060675355216
30,-1.0,0.0,bounded,144.7820939437672,72.3910469718836,73.12183405584459,False,35.99847385127337
30,-1.0,1.0,bounded,155.14262337776205,77.57131168888104,78.35494343749082,False,72.14066504407572
30,0.0,-1.0,bounded,127.0157297827901,63.50786489139505,64.14820383755347,False,33.88566260917961
30,0.0,0.0,bounded,135.45721510150094,67.72860755075047,68.41189471395128,False,0.0
30,0.0,1.0,bounded,144.782093943767,72.3910469718835,73.12183405584449,False,35.998473851273495
30,1.0,-1.0,bounded,119.3668749019229,59.68343745096145,60.28490262792562,False,63.31655005742573
30,1.0,0.0,bounded,127.01572978279016,63.50786489139508,64.14820383755352,False,33.88566260917972
30,1.0,1.0,bounded,135.43668977056558,67.71834488528279,68.40152850343267,False,18.068060675355188
60,-1.0,-1.0,bounded,69.87467355928561,34.937336779642806,35.287431210260145,False,20.152303109144707
60,-1.0,0.0,bounded,72.05142040453012,36.02571020226507,36.38673854186045,False,20.360560211510602
60,-1.0,1.0,bounded,74.33782888872695,37.16891444436347,37.54142938492762,False,35.998473851272934
60,0.0,-1.0,bounded,67.81889256030958,33.90944628015479,34.24921581856983,False,19.95427989424659
60,0.0,0.0,bounded,69.88413646045257,34.94206823022629,35.292210092501065,False,0.0
60,0.0,1.0,bounded,72.05142040453029,36.025710202265145,36.38673854186061,False,20.360560211510446
60,1.0,-1.0,bounded,65.8581392639131,32.92906963195656,33.25899298703821,False,33.88566260917969
60,1.0,0.0,bounded,67.81889256030958,33.90944628015479,34.249215818569844,False,19.954279894246618
60,1.0,1.0,bounded,69.87467355928574,34.93733677964287,35.28743121026025,False,20.152303109144707
90,-1.0,-1.0,bounded,49.38542582373391,24.69271291186696,24.939843773867796,False,24.681429879653912
90,-1.0,0.0,bounded,50.2630447273542,25.1315223636771,25.38305046663338,False,17.455064928217542
90,-1.0,1.0,bounded,51.17240560417561,25.586202802087808,25.84228739016205,False,25.123725818997627
90,0.0,-1.0,bounded,49.36285975930738,24.68518955358811,24.93209311517949,False,17.455064928217624
90,0.0,0.0,bounded,49.38542582373404,24.692712911867027,24.939843773869963,False,0.0
90,0.0,1.0,bounded,50.26304472735416,25.13152236367708,25.383050466633357,False,17.455064928217624
90,1.0,-1.0,bounded,49.385425823733925,24.692712911866963,24.939539766183003,False,24.26170000473678
90,1.0,0.0,bounded,49.36285975930749,24.685189553588163,24.932093115179526,False,17.455064928217624
