problem,method,category,runs,all_cleared,mean_per_source_s,max_per_source_s,max_total_s,mean_commands
4,bracket25,clustered__adversarial-spatial,10,10,602.2813715321346,725.0369127272727,8923.671425,297.8
4,bracket25,clustered__iid,10,10,597.0113686200281,710.7942183636364,8708.374718,287.6
4,bracket25,clustered__smooth,10,10,596.0270858896163,712.1006075454545,8780.209791,288.6
4,bracket25,edge__adversarial-negative,10,10,627.7355717581672,733.5014001818182,9109.944416,316.5
4,bracket25,edge__adversarial-positive,10,10,618.6366060392536,731.4459326363636,8827.794587,310.0
4,bracket25,edge__adversarial-spatial,10,10,625.6445368441534,720.3150736363636,9009.490669,316.2
4,bracket25,edge__iid,10,10,627.1307886662146,738.9607295454545,8953.301694,314.3
4,bracket25,edge__smooth,10,10,627.5453558219989,738.7620316363636,8998.377855,317.3
4,bracket25,near_collinear,9,9,650.5827055402777,831.5248853999999,8815.738079,371.1111111111111
4,bracket25,range_transition,9,9,663.011339149893,870.8078039,8708.078039,299.22222222222223
4,bracket25,uniform__adversarial-negative,10,10,614.8099698583354,738.9915640909092,8991.13418,286.9
4,bracket25,uniform__adversarial-positive,10,10,603.6891629551594,762.3009783636363,8702.411665,284.7
4,bracket25,uniform__adversarial-spatial,10,10,605.4686480584403,734.1665387272727,8781.709687,285.5
4,bracket25,uniform__iid,10,10,602.6722491657122,734.3148243636364,8719.580462,282.5
4,bracket25,uniform__smooth,10,10,602.9926454887355,737.5529789999999,8489.564088,284.5
4,joint22,boundary_outward,9,9,713.0315254511753,830.2155132,10186.227224,467.1111111111111
4,joint22,boundary_tangent,9,9,577.2712182335468,713.4355985,7641.487401,393.1111111111111
4,joint22,cluster_far20,9,9,569.5336881944445,751.5603091,7607.017259,314.1111111111111
4,joint22,clustered__adversarial-negative,10,10,482.82660166372295,607.0925595454545,7021.736813,338.5
4,joint22,clustered__adversarial-positive,10,10,471.8957822076585,611.4519725454546,7330.23325,324.4
4,joint22,clustered__adversarial-spatial,10,10,485.3639562500933,625.8982983636364,7421.925926,349.7
4,joint22,clustered__iid,10,10,476.76144601615505,639.8677613636363,7038.545375,318.1
4,joint22,clustered__smooth,10,10,485.6302070919255,618.5692844545455,7228.174479,351.3
4,joint22,edge__adversarial-negative,10,10,512.7901007177555,654.91388,7507.61698,338.3
4,joint22,edge__adversarial-positive,10,10,508.20170823917636,651.9755134545454,7225.331697,333.8
4,joint22,edge__adversarial-spatial,10,10,513.1424727208978,660.821929,7269.041219,340.4
4,joint22,edge__iid,10,10,513.9600616841979,645.6568955454545,7252.343122,335.1
4,joint22,edge__smooth,10,10,508.8747239671012,658.8194993636363,7247.014493,330.9
4,joint22,near_collinear,9,9,634.8412101797007,814.0075496000001,8677.684393,410.22222222222223
4,joint22,range_transition,9,9,603.8796290701923,768.6476144999999,8056.301957,371.77777777777777
4,joint22,uniform__adversarial-negative,10,10,504.13795292911954,669.325646,7362.582106,331.2
4,joint22,uniform__adversarial-positive,10,10,504.4237929663491,675.8232712727272,7434.055984,333.7
4,joint22,uniform__adversarial-spatial,10,10,503.9559684354408,606.3125401818181,7144.284148,335.1
4,joint22,uniform__iid,10,10,501.846840151168,670.286506090909,7373.151567,331.8
4,joint22,uniform__smooth,10,10,505.6210399609437,673.578991,7409.368901,333.2
4,joint25,boundary_outward,9,9,646.8455160748931,811.3499678999999,9936.727383,463.77777777777777
4,joint25,boundary_tangent,9,9,598.2591605014957,739.5328238,8199.162963,424.77777777777777
4,joint25,cluster_far20,9,9,590.3942042959402,817.9729063,8179.729063,335.0
4,joint25,clustered__adversarial-negative,10,10,500.8380186655224,626.6678347272727,7110.0643,365.5
4,joint25,clustered__adversarial-positive,10,10,500.8981945855491,614.9106949166667,7378.928339,353.9
4,joint25,clustered__adversarial-spatial,10,10,507.9737987674788,633.50157425,7602.018891,382.4
4,joint25,clustered__iid,10,10,497.7370016287429,601.9958222727273,6890.203806,361.1
4,joint25,clustered__smooth,10,10,498.183386241638,624.4488426363637,7138.8566,369.8
4,joint25,edge__adversarial-negative,10,10,532.7138084476244,691.2995101818182,7604.294612,376.6
4,joint25,edge__adversarial-positive,10,10,518.4848670148906,665.0268481818182,7315.29533,381.8
4,joint25,edge__adversarial-spatial,10,10,515.1593405528017,649.3056746363636,7302.563171,372.1
4,joint25,edge__iid,10,10,525.3883269960031,671.2036017272727,7383.239619,380.2
4,joint25,edge__smooth,10,10,529.6654020344974,678.0084077272727,7458.092485,378.3
4,joint25,near_collinear,9,9,588.4046916481838,741.007081,7999.333277,413.3333333333333
4,joint25,range_transition,9,9,599.844830758547,730.0976388,8077.346248,438.55555555555554
4,joint25,uniform__adversarial-negative,10,10,518.2324789386588,639.1540783636364,7527.83997,361.8
4,joint25,uniform__adversarial-positive,10,10,512.5813573647132,660.07272,7260.79992,364.8
4,joint25,uniform__adversarial-spatial,10,10,515.0246239316878,662.5256158181818,7287.781774,363.6
4,joint25,uniform__iid,10,10,517.5309445628179,659.2551268181818,7251.806395,360.1
4,joint25,uniform__smooth,10,10,518.1454133716138,677.5763564545455,7453.339921,367.9
4,polar25_conservative,boundary_outward,9,9,1083.1647509746795,1252.2744089,15696.55359,561.7777777777778
4,polar25_conservative,boundary_tangent,9,9,877.5098442510684,987.8447941875,15805.516707,525.5555555555555
4,polar25_conservative,cluster_far20,9,9,619.4120509044872,797.9140692,7979.140692,353.3333333333333
4,polar25_conservative,clustered__adversarial-negative,10,10,601.1818804549355,775.5691029090908,8531.260132,360.3
4,polar25_conservative,clustered__adversarial-positive,10,10,597.5920998811858,776.2450162727273,8538.695179,359.3
4,polar25_conservative,clustered__adversarial-spatial,10,10,592.6577132287479,741.3654326363636,8551.151567,353.8
4,polar25_conservative,clustered__iid,10,10,591.5770510899825,739.5910311818182,8289.922349,356.6
4,polar25_conservative,clustered__smooth,10,10,606.0240298703426,805.755638909091,8863.312028,357.9
4,polar25_conservative,edge__adversarial-negative,10,10,601.8817524899787,739.8057799166667,10421.651269,407.1
4,polar25_conservative,edge__adversarial-positive,10,10,602.2706198203218,802.7894232727272,9663.992041,407.3
4,polar25_conservative,edge__adversarial-spatial,10,10,628.1357672994376,794.5845524545456,9839.774033,399.6
4,polar25_conservative,edge__iid,10,10,611.0310334006706,788.2025301818182,9109.754671,398.4
4,polar25_conservative,edge__smooth,10,10,608.1949699523351,824.8823486363636,9398.329026,401.4
4,polar25_conservative,near_collinear,9,9,711.4201364436966,841.5228117,9782.680256,410.3333333333333
4,polar25_conservative,range_transition,9,9,685.3669740301282,823.6976805,9763.946809,438.44444444444446
4,polar25_conservative,uniform__adversarial-negative,10,10,586.9003644685631,719.985333909091,8148.89448,340.8
4,polar25_conservative,uniform__adversarial-positive,10,10,589.861118028472,736.6563780909091,8253.483904,339.5
4,polar25_conservative,uniform__adversarial-spatial,10,10,590.5969125409165,704.847102909091,8726.017937,339.2
4,polar25_conservative,uniform__iid,10,10,590.1839176648584,711.8098771818181,8512.267682,344.4
4,polar25_conservative,uniform__smooth,10,10,588.3100654664431,748.3894204545454,8247.930774,345.2
4,replacement22,boundary_outward,9,9,713.0315254511753,830.2155132,10186.227224,467.1111111111111
4,replacement22,boundary_tangent,9,9,577.2712182335468,713.4355985,7641.487401,393.1111111111111
4,replacement22,cluster_far20,9,9,569.5336881944445,751.5603091,7607.017259,314.1111111111111
4,replacement22,clustered__adversarial-negative,10,10,472.28134101997296,607.0925595454545,7021.736813,330.1
4,replacement22,clustered__adversarial-positive,10,10,471.02866233890853,611.4519725454546,7330.23325,324.0
4,replacement22,clustered__adversarial-spatial,10,10,475.66733942509325,625.8982983636364,7421.925926,341.8
4,replacement22,clustered__iid,10,10,469.22378752240513,639.8677613636363,7038.545375,309.9
4,replacement22,clustered__smooth,10,10,478.0143761919256,618.5692844545455,7228.174479,343.6
4,replacement22,edge__adversarial-negative,10,10,505.24558651150556,654.91388,7507.61698,331.3
4,replacement22,edge__adversarial-positive,10,10,497.6906247516763,651.9755134545454,7225.331697,328.6
4,replacement22,edge__adversarial-spatial,10,10,506.8370868083978,660.821929,7269.041219,336.3
4,replacement22,edge__iid,10,10,500.184370627948,645.6568955454545,7252.343122,326.6
4,replacement22,edge__smooth,10,10,496.5435112108512,658.8194993636363,7247.014493,321.9
4,replacement22,near_collinear,9,9,632.6163068463675,814.0075496000001,8677.684393,416.6666666666667
4,replacement22,range_transition,9,9,593.7814244799146,768.6476144999999,7817.883237,367.0
4,replacement22,uniform__adversarial-negative,10,10,489.42600362286964,669.325646,7362.582106,320.3
4,replacement22,uniform__adversarial-positive,10,10,492.38198849134903,675.8232712727272,7434.055984,324.9
