phase,problem,setting,block,order,case_code,official_row_id,practice_run_no,parameters,sources,omni_sources,directional_sources,completed,cleared,misses,virtual_time_us,total_s,seconds_per_source,distance_m,movement_s,measurements,switches,measurement_s,switch_s,failed_clear_s,successful_clear_s,retries,duplicate_responses,max_action_ledger_error_s,wall_s,round_counters_recorded,sources_at_round_budget,maximum_rounds,end_reason,evidence,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,optical_fallback_calls,bracket_pair_cuts,active_measurements,certified_clears,omni_negative_cuts,packet_fallbacks,forced_continuations
screen,4,baseline,1,31,MPED-E48N-ZD3E-7EYV,210,202058926266711947,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,13,3,1,16,0,5161855029,5161.855029,322.6159393125,19049.275143850628,3809.8550287701255,215,197,1075,197,0,80,0,0,4.915551699014031e-07,35.845878332998836,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043202-f4ed6e98,14,1,2,0,0,9,10,,0,0
screen,3,remainder_weight=0.5,1,32,A46K-UCT9-33PQ-43NH,211,1959363161237084075,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 0.5, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,2966312890,2966.31289,269.6648081818182,10481.56445393104,2096.312890786208,137,130,685,130,0,55,0,0,4.920035170385972e-07,33.297341625002446,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043238-ee288748,9,,,0,0,4,4,2,,
screen,4,steps=2,1,33,RJSR-4RBQ-YXRB-DQ37,212,400368651189057577,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 2, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,4,9,1,13,0,5800936612,5800.936612,446.22589323076926,20999.68306900828,4199.936613801656,260,236,1300,236,0,65,0,0,4.832286748523984e-07,38.83224295801483,True,2,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043311-0becda58,17,0,1,0,0,7,7,,2,0
screen,3,remainder_weight=0,1,34,7QB4-G4PA-8TAY-8ZX3,213,6990592364604215804,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 0, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,3189244656,3189.244656,289.93133236363633,11756.223285726812,2351.2446571453625,132,123,660,123,0,55,0,0,4.780130637982438e-07,33.68158400000539,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043350-87c436e0,11,,,0,0,4,5,1,,
screen,4,trial_radius=80,1,35,7TEQ-AQ9Y-BXD4-SVXA,214,1581939821046031898,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 80}",12,3,9,1,12,0,6443397848,6443.397848,536.9498206666666,23186.989239054452,4637.39784781089,295,271,1475,271,0,60,0,0,4.993034963263199e-07,39.11516416599625,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043424-737e9d9b,11,1,3,0,0,13,8,,0,0
screen,4,steps=4,1,36,96N8-QAZQ-5KN4-47HG,215,4721146820257313093,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 4, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",12,0,12,1,12,0,6006383712,6006.383712,500.531976,21966.918573558414,4393.383714711683,263,238,1315,238,0,60,0,0,4.854014719057886e-07,38.46203870800673,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043503-c37559af,8,4,1,0,0,13,6,,0,0
screen,4,transverse_m=70,1,37,NCWG-GPQA-27KB-6HUB,216,7067259099160618141,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 70, ""trial_radius"": 35.0}",16,11,5,1,16,0,4229978780,4229.97878,264.37367375,16089.893903332093,3217.9787806664185,158,142,790,142,0,80,0,0,4.969754030526019e-07,34.048600666981656,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043542-75bcd92a,21,10,3,0,0,13,6,,0,0
screen,3,localization_weight=1.28,1,38,WA38-VA2A-FQ7K-WUPA,217,3108745832526633469,"{""localization_weight"": 1.28, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",14,14,0,1,14,0,3070183168,3070.183168,219.2987977142857,11350.915853896426,2270.1831707792853,123,115,615,115,0,70,0,0,4.953904433335765e-07,33.693097790994216,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043616-b16a25d8,18,,,0,0,6,5,0,,
screen,4,share_limit=2,1,39,FN7H-Y9DY-FT4R-TGFH,218,1691968240144324998,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 2, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,2,11,1,13,1,6079049220,6079.04922,467.6191707692308,21850.246093774254,4370.049218754851,277,256,1385,256,3,65,0,0,4.933623074521165e-07,38.790139249991626,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043650-ea7a884d,10,0,5,0,0,8,12,,0,0
screen,3,trial_radius=80,1,40,FP6D-4CT9-YKZT-XXXT,219,2211560081485723778,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 80}",11,11,0,1,11,0,2763676311,2763.676311,251.243301,10038.381563294706,2007.6763126589412,118,111,590,111,0,55,0,0,4.964645654581545e-07,32.940913916012505,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043729-33927029,13,,,0,0,2,5,0,,
screen,3,share_limit=2,1,41,CH6Q-6KXZ-3B3V-D4QQ,220,2010617084332869214,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 2, ""trial_radius"": 50.0}",16,16,0,1,16,1,2935216336,2935.216336,183.451021,11186.081679484481,2237.2163358968965,104,95,520,95,3,80,0,0,4.994912501388171e-07,31.333497374987928,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043802-0a00cd34,23,,,0,0,7,10,0,,
screen,4,pause_limit=4,1,42,FRM4-KZ98-6BDG-QHYJ,221,4868767118541494839,"{""fraction"": 0.15, ""pause_limit"": 4, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",12,8,4,1,12,0,5983399381,5983.399381,498.61661508333333,21826.996904532392,4365.399380906479,263,243,1315,243,0,60,0,0,4.721749462532898e-07,39.02647166699171,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043834-11f1cc7c,13,1,3,0,0,5,9,,0,0
screen,4,pause_limit=24,1,43,SA49-U7M8-G56F-KZTS,222,6058104636236607028,"{""fraction"": 0.15, ""pause_limit"": 24, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,2,13,1,15,0,6592651935,6592.651935,439.510129,24548.259660345113,4909.651932069022,272,248,1360,248,0,75,0,0,4.978750993700487e-07,39.41089237498818,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043913-543f40ce,27,18,7,0,0,19,6,,0,0
