active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,22,15,158,1.0,,,base,0,0.033279999999999976,15,,1,8,False,,,,,False,,0,0,,22,0,,,134,range_area7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03329524997388944
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,22,15,158,1.0,,,base,0,0.03331699999999982,15,,1,8,False,,4,0,4,False,,0,0,,22,0,,,134,faithful_area7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03332391596632078
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,,19,15,150,1.0,,,,,0.02999300000000016,15,,6,10,False,,,,,,,0,,,22,0,,,129,area_return1_7,[],13010.796039392302,0,107.1655831496508,0.0,9,,,230.34394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,121,3455.159209,,,True,0.02999216696480289
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,19,15,144,1.0,,,base,0,0.0286249999999999,15,,6,10,False,,,,,False,,0,0,,22,0,,,123,range_area7,[],13010.796039392302,0,107.1655831496508,0.0,9,,,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.028633416979573667
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,19,15,144,1.0,,,base,0,0.029086000000000167,15,,6,10,False,,6,0,6,False,,0,0,,22,0,,,123,faithful_area7,[],13010.796039392302,0,107.1655831496508,0.0,9,,,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.029112584015820175
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,,13,10,134,1.0,,,,,0.018411000000000177,10,,2,5,False,,,,,,,0,,,17,0,,,119,area_return1_7,[],11220.950146327352,0,50.559319946033376,0.0,8,,,301.3190027,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3013.190027,,,True,0.018431957985740155
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,13,10,133,1.0,,,base,0,0.018623000000000056,10,,2,5,False,,,,,False,,0,0,,17,0,,,118,range_area7,[],11220.950146327352,0,50.559319946033376,0.0,8,,,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.018648541998118162
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,13,10,133,1.0,,,base,0,0.018993999999999955,10,,2,5,False,,1,0,1,False,,0,0,,17,0,,,118,faithful_area7,[],11220.950146327352,0,50.559319946033376,0.0,8,,,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.019000499974936247
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,,16,12,150,1.0,,,,,0.024224000000000023,12,,4,8,False,,,,,,,0,,,19,0,,,132,area_return1_7,[],12063.417805624325,0,48.0087867640272,0.0,8,,,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.02423366700531915
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,0,16,12,150,1.0,,,base,0,0.023905000000000065,12,,4,8,False,,,,,False,,0,0,,19,0,,,132,range_area7,[],12063.417805624325,0,48.0087867640272,0.0,8,,,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.023905250011011958
