active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,12,5,22,15,145,1.0,,,locked,22,0.030240999999999962,15,cached_distance_prefix_sum,3,10,False,,True,,0,0,,0,0,,,121,fast_locked_area7,[],11163.52153498195,,,,,0,86.64739161121139,0.0,12,,,203.11362066666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3046.70431,,,True,0.030257125035859644
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,10,6,21,15,165,1.0,,,locked,22,0.039005999999999874,15,,5,11,False,,True,,0,0,,0,0,,,142,range_locked_area7,[],12206.584809208389,,,,,0,113.82032053067346,0.0,10,,,225.15446406666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,34,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,133,3377.316961,,,True,0.03903616702882573
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,10,6,21,15,165,1.0,,,locked,22,0.03207400000000016,15,cached_distance_prefix_sum,5,11,False,,True,,0,0,,0,0,,,142,fast_locked_area7,[],12206.584809208389,,,,,0,113.82032053067346,0.0,10,,,225.15446406666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,34,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,133,3377.316961,,,True,0.03209887503180653
4,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,5,2,11,10,138,1.0,,,locked,17,0.01995099999999983,10,,5,6,False,,True,,0,0,,0,0,,,125,range_locked_area7,[],10690.818344626192,,,,,0,41.19407354287674,0.0,5,,,293.316367,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,2933.16367,,,True,0.01996062498074025
4,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,5,2,11,10,138,1.0,,,locked,17,0.018099000000000087,10,cached_distance_prefix_sum,5,6,False,,True,,0,0,,0,0,,,125,fast_locked_area7,[],10690.818344626192,,,,,0,41.19407354287674,0.0,5,,,293.316367,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,2933.16367,,,True,0.01810637500602752
12,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,11,6,19,12,151,1.0,,,locked,19,0.02981199999999995,12,,1,8,False,,True,,0,0,,0,0,,,130,range_locked_area7,[],12725.349715195991,,,,,0,101.97089863910828,0.0,11,,,283.3391619166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,25,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,124,3400.069943,,,True,0.029816332971677184
12,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,11,6,19,12,151,1.0,,,locked,19,0.025581000000000076,12,cached_distance_prefix_sum,1,8,False,,True,,0,0,,0,0,,,130,fast_locked_area7,[],12725.349715195991,,,,,0,101.97089863910828,0.0,11,,,283.3391619166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,25,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,124,3400.069943,,,True,0.025590375007595867
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,9,0,16,10,145,1.0,,,locked,17,0.021533999999999942,10,,1,7,False,,True,,0,0,,0,0,,,127,range_locked_area7,[],11514.442755915961,,,,,0,54.1288471344636,0.0,9,,,312.688855,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,121,3126.88855,,,True,0.02154862502356991
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,9,0,16,10,145,1.0,,,locked,17,0.020324999999999926,10,cached_distance_prefix_sum,1,7,False,,True,,0,0,,0,0,,,127,fast_locked_area7,[],11514.442755915961,,,,,0,54.1288471344636,0.0,9,,,312.688855,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,121,3126.88855,,,True,0.020342167001217604
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,11,13,19,15,137,1.0,,,locked,22,0.0375439999999998,15,,4,8,False,,True,,0,0,,0,0,,,116,range_locked_area7,[],11183.0058180322,,,,,0,138.01035710491058,0.0,11,,,200.90674413333332,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,24,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3013.601162,,,True,0.037566541985142976
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,11,13,19,15,137,1.0,,,locked,22,0.02996500000000002,15,cached_distance_prefix_sum,4,8,False,,True,,0,0,,0,0,,,116,fast_locked_area7,[],11183.0058180322,,,,,0,138.01035710491058,0.0,11,,,200.90674413333332,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,24,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3013.601162,,,True,0.029970499977935106
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,6,21,15,165,1.0,,,locked,22,0.039212000000000025,15,,2,8,False,,True,,0,0,,0,0,,,142,range_locked_area7,[],12206.608964656949,,,,,0,128.84286656822474,0.0,13,,,225.22145306666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,34,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,134,3378.321796,,,True,0.039290875021833926
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,6,21,15,165,1.0,,,locked,22,0.03286300000000009,15,cached_distance_prefix_sum,2,8,False,,True,,0,0,,0,0,,,142,fast_locked_area7,[],12206.608964656949,,,,,0,128.84286656822474,0.0,13,,,225.22145306666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,34,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,134,3378.321796,,,True,0.03287462500156835
