active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.03809700000000005,10,,0,0,,False,0,first,,0,,0,8,703,0,0,0,5,3,41,0,4,3,316,history_first8_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.03814729198347777
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.0412809999999999,10,,0,0,,False,0,recent,,0,,0,8,703,0,0,0,5,3,41,0,4,3,316,history_recent8_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.04128658398985863
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.054537999999999975,10,,0,0,,False,0,ends,,0,,0,16,2251,0,0,0,5,3,41,0,4,3,316,history_ends16_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.05459554196568206
17,4,True,0,17,1,1,0,uniform__iid__70,uniform__iid,9,20,10,10,330,bounded_transverse_width,,arc,45,0.05470900000000012,10,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1288,0,0,0,20,7,0,0,4,3,318,history_arc8_width015,[],22958.931217557558,0,0.0,False,0,652.6786241,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,0.5,7,1,0,7,23,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6526.786241,40.0,constant,0.05478179198689759
11,1,True,0,11,3,3,0,uniform__iid__70,uniform__iid,7,21,10,10,328,bounded_transverse_width,,locked,42,0.03880899999999965,10,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,687,0,0,0,21,4,0,0,3,3,316,history_locked8_width015,[],21246.015282373417,0,0.0,False,0,617.4203054,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,4,1,12,4,20,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6174.203054,40.0,constant,0.03887733299052343
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.03616600000000014,10,,0,0,,False,0,first,676,0,4,0,8,703,0,0,0,5,3,41,0,4,3,316,batch_history_first8_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.03618341701803729
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.03887699999999983,10,,0,0,,False,0,recent,684,0,10,0,8,703,0,0,0,5,3,41,0,4,3,316,batch_history_recent8_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.03891345800366253
13,4,True,0,13,2,2,0,uniform__iid__70,uniform__iid,8,5,10,10,328,bounded_transverse_width,,base,0,0.046250000000000124,10,,0,0,,False,0,ends,2202,0,7,0,16,2251,0,0,0,5,3,41,0,4,3,316,batch_history_ends16_width015,[],21303.571196271037,0,0.0,False,0,618.4714239,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,3,9,3,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,294,6184.714239,40.0,constant,0.046267124998848885
17,4,True,0,17,1,1,0,uniform__iid__70,uniform__iid,9,20,10,10,330,bounded_transverse_width,,arc,45,0.049751999999999796,10,cached_distance_prefix_sum,0,0,,False,0,ends,1254,0,7,0,8,1288,0,0,0,20,7,0,0,4,3,318,batch_history_arc8_width015,[],22958.931217557558,0,0.0,False,0,652.6786241,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,0.5,7,1,0,7,23,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6526.786241,40.0,constant,0.04980150004848838
11,1,True,0,11,3,3,0,uniform__iid__70,uniform__iid,7,21,10,10,328,bounded_transverse_width,,locked,42,0.035949999999999704,10,cached_distance_prefix_sum,0,0,,True,0,ends,656,0,26,0,8,687,0,0,0,21,4,0,0,3,3,316,batch_history_locked8_width015,[],21246.015282373417,0,0.0,False,0,617.4203054,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,4,1,12,4,20,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6174.203054,40.0,constant,0.035968667012639344
