best_m,bound_kind,certified_optimal,comparison_budget,comparisons,delta_scores,full_scores,generated_candidates,initial_2opt_m,local_polishes,lower_bound_m,method,point_set,polish_enabled,raw_proposal_best_m,seed,shared_setup_s,stations,wall_s
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,iterated_search,square700,True,31669.8484809835,44,0.008829291036818177,45,0.008863666036631912
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,iterated_search,square700,True,31669.8484809835,45,0.00872058398090303,45,0.008749708998948336
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,iterated_search,square700,True,31669.8484809835,46,0.008818334026727825,45,0.008855417021550238
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,greedy,q3_triangle,True,30600.0,42,0.0011194160324521363,19,0.0011545000015757978
30600.0,(n-1) times minimum interstation distance,True,100000,1141,1140,1,0,30600.0,0,30599.999999999996,insertion_greedy,q3_triangle,True,30600.0,42,0.0010260409908369184,19,0.0014462079852819443
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,two_opt,q3_triangle,True,30600.0,42,0.0012124170316383243,19,0.0012493749964050949
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,genetic,q3_triangle,True,30600.0,42,0.0010426670196466148,19,0.0010741250007413328
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,genetic,q3_triangle,True,30600.0,43,0.001018957991618663,19,0.0010463750222697854
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,genetic,q3_triangle,True,30600.0,44,0.001084042014554143,19,0.0011209999793209136
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,genetic,q3_triangle,True,30600.0,45,0.001039207971189171,19,0.0010675420053303242
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,genetic,q3_triangle,True,30600.0,46,0.001029832987114787,19,0.0010563330142758787
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,immune,q3_triangle,True,30600.0,42,0.001010625041089952,19,0.0010372500400990248
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,immune,q3_triangle,True,30600.0,43,0.0010208330349996686,19,0.0010469160042703152
