all_clear_rate,all_cleared,errors,max_commands,max_wall_s,mean_clear_calls,mean_commands,mean_cpu_s,mean_measurements,mean_move_m,mean_per_source_s,mean_stations,mean_switches,mean_total_s,mean_wall_s,method,n,p95_total_s,p95_wall_s,pooled_per_source_s,role,split,stop_at_16,stop_full_coverage,sum_cpu_s,task,worst_case_id,worst_per_source_s,worst_total_s
1.0,18,0,788,0.541086167038884,182.5,575.5555555555555,0.3781430555555592,391.05555555555554,44229.56070404113,959.4963224520834,27.5,364.5,11739.189919,0.3841979051681442,insertion_greedy,18,14379.697190249999,0.516958845584304,903.0146091538461,,stress,9,9,6.806575000000066,q4_active,near_collinear_min__n16__negative,1292.162513,14497.757715
1.0,18,0,906,0.5495449579902925,236.44444444444446,608.5555555555555,0.3724398888888977,370.1111111111111,45773.00670988254,983.9373722229167,26.666666666666668,344.05555555555554,12084.545774833336,0.3769118703979378,two_opt,18,14954.341454899999,0.520131806176505,929.5804442179489,,stress,9,9,6.703918000000158,q4_active,near_collinear_min__n16__spatial,1423.4646034,15332.819974
1.0,18,0,922,0.5355940840090625,248.38888888888889,628.5,0.37643111111112326,378.1111111111111,47395.07829501388,1009.7503996576389,28.333333333333332,349.6666666666667,12490.404537888888,0.38037440272617257,genetic,18,14753.1737468,0.5262694063363597,960.8003490683759,,stress,9,9,6.7757600000002185,q4_active,boundary_outward_min__n10__negative,1480.4000731,14804.000731
1.0,18,0,984,0.577903791971039,272.77777777777777,669.9444444444445,0.3830641666666629,395.1666666666667,48283.96947201865,1032.4843373875,28.5,366.77777777777777,12843.7383275,0.3880669652781863,immune,18,14838.42096245,0.5461332348786527,987.9798713461538,,stress,9,9,6.8951549999999315,q4_active,near_collinear_min__n16__negative,1459.6549251000001,15569.083294
1.0,18,0,790,0.5418969580205157,182.5,576.2222222222222,0.369497888888879,391.72222222222223,45319.04269306041,976.2598483187501,28.0,365.1666666666667,11961.086317000001,0.37412950233232956,ant_colony,18,14801.072926499999,0.5152848392142914,920.0835628461539,,stress,9,9,6.650961999999822,q4_active,near_collinear_min__n16__negative,1335.7594001,14925.537874
1.0,18,0,924,0.7541052920278162,275.1111111111111,668.0555555555555,0.3712962222222258,390.94444444444446,50341.41321738017,1068.6080092270834,30.0,362.0,13236.338190833332,0.3841945601129232,particle_swarm,18,14879.675629849999,0.5435503750486529,1018.1798608333334,,stress,9,9,6.683332000000064,q4_active,near_collinear_min__n16__spatial,1485.9256559,14995.383698
1.0,18,0,776,1.0139298750436865,200.61111111111111,583.0,0.3723009444444377,380.3888888888889,46744.4125887071,987.3353670666667,29.5,352.3333333333333,12230.993637833333,0.39896218745141393,fireworks,18,14125.418860049998,0.6128493000054726,940.845664448718,,stress,9,9,6.7014169999998785,q4_active,near_collinear_min__n16__negative,1309.5884116,14154.677447
1.0,18,0,823,0.6816963329911232,220.16666666666666,588.8333333333334,0.3854322777777573,366.6666666666667,44268.285989322525,954.3100460388889,26.666666666666668,340.27777777777777,11713.768303722223,0.3921201783394079,iterated_search,18,13131.48303745,0.5838705419097094,901.0591002863248,,stress,9,9,6.937780999999632,q4_active,boundary_outward_min__n10__negative,1316.6516725,13166.516725
1.0,18,0,922,0.5549199580564164,267.77777777777777,617.1111111111111,0.3622371111111167,347.3333333333333,48721.716476751455,1034.1331356236112,26.61111111111111,321.22222222222223,12631.565506611112,0.366550981497211,adaptive_greedy,18,15572.92236595,0.5257279481418663,971.6588851239317,,stress,9,9,6.520268000000101,q4_active,boundary_outward_min__n10__negative,1581.5655177,15815.655177
1.0,18,0,937,0.5265002079540864,235.5,596.1666666666666,0.39380155555555046,358.6666666666667,45369.06493595312,974.9865202333335,26.5,333.44444444444446,11933.090753999999,0.4031795185518503,adaptive_two_opt,18,14168.122212799999,0.5188014400773682,917.9300579999999,,stress,9,9,7.088427999999908,q4_active,boundary_outward_min__n10__negative,1480.8997726,14808.997726
