all_cleared,baseline_per_source_s,baseline_s,candidate_per_source_s,candidate_s,case_id,category,delta_s,method,seed,sources,split,task
True,953.0296403333333,11436.355684,1057.70073125,12692.408775,uniform__iid__52,uniform__iid,1256.0530909999998,insertion_greedy,52,12,ordinary,q4_conservative
True,686.50502,10984.08032,764.734935625,12235.75897,edge__adversarial-negative__56,edge__adversarial-negative,1251.6786500000017,ant_colony,56,16,ordinary,q4_active
True,845.042002375,13520.672038,922.3221056875,14757.153691,boundary_outward_min__n16__negative,boundary_outward_min,1236.481652999999,particle_swarm,146,16,stress,q4_active
True,845.042002375,13520.672038,921.5127674375,14744.204279,boundary_outward_min__n16__negative,boundary_outward_min,1223.532240999999,genetic,146,16,stress,q4_active
True,820.018132,11480.253848,906.9332157142857,12697.06502,uniform__adversarial-positive__53,uniform__adversarial-positive,1216.8111719999997,ant_colony,53,14,ordinary,q4_active
True,721.0619666875,11536.991467,796.8842308125,12750.147693,near_collinear_min__n16__negative,near_collinear_min,1213.156226000001,insertion_greedy,152,16,stress,q4_conservative
True,660.016276375,10560.260422,735.6482486875,11770.371979,uniform__adversarial-positive__56,uniform__adversarial-positive,1210.1115570000002,genetic,56,16,ordinary,q4_active
True,1091.4366532,10914.366532,1212.3386905,12123.386905,uniform__adversarial-negative__55,uniform__adversarial-negative,1209.0203729999994,insertion_greedy,55,10,ordinary,q4_active
True,1096.5770267,10965.770267,1217.3588319,12173.588319,uniform__smooth__55,uniform__smooth,1207.8180520000005,insertion_greedy,55,10,ordinary,q4_active
True,723.1712804375,11570.740487,798.478095,12775.64952,near_collinear_min__n16__spatial,near_collinear_min,1204.9090330000017,insertion_greedy,153,16,stress,q4_conservative
True,918.4168657499999,11021.002389,1018.2230384166666,12218.676461,edge__adversarial-negative__52,edge__adversarial-negative,1197.6740719999998,insertion_greedy,52,12,ordinary,q4_conservative
True,712.81981125,11405.11698,786.7079089375,12587.326543,unknown_count_late__n16__positive,unknown_count_late,1182.2095629999985,insertion_greedy,157,16,stress,q4_conservative
True,1121.9104037,11219.104037,1239.5219546,12395.219546,edge__adversarial-positive__55,edge__adversarial-positive,1176.115509000001,adaptive_greedy,55,10,ordinary,q4_active
True,735.2862066875,11764.579307,806.921154,12910.738464,edge__adversarial-positive__56,edge__adversarial-positive,1146.159157,ant_colony,56,16,ordinary,q4_active
True,526.952068625,8431.233098,598.51791225,9576.286596,uniform__adversarial-spatial__56,uniform__adversarial-spatial,1145.0534979999993,insertion_greedy,56,16,ordinary,q3_active
True,1272.5312241,12725.312241,1386.9924623000002,13869.924623,boundary_outward_min__n10__spatial,boundary_outward_min,1144.6123820000012,particle_swarm,144,10,stress,q4_active
True,1094.6452178,10946.452178,1209.0408142,12090.408142,uniform__adversarial-spatial__55,uniform__adversarial-spatial,1143.9559640000007,immune,55,10,ordinary,q4_active
True,1354.4466429,13544.466429,1468.5949156000001,14685.949156,boundary_outward_min__n10__negative,boundary_outward_min,1141.4827270000005,particle_swarm,143,10,stress,q4_active
True,715.18716075,11442.994572,785.511217875,12568.179486,unknown_count_late__n16__negative,unknown_count_late,1125.1849140000013,insertion_greedy,158,16,stress,q4_conservative
True,1096.5770267,10965.770267,1205.5398731,12055.398731,uniform__smooth__55,uniform__smooth,1089.6284639999994,immune,55,10,ordinary,q4_active
True,718.3218273125,11493.149237,786.0923950625,12577.478321,unknown_count_late__n16__spatial,unknown_count_late,1084.3290840000009,insertion_greedy,159,16,stress,q4_conservative
True,756.2523304375,12100.037287,823.9562675625,13183.300281,boundary_outward_min__n16__positive,boundary_outward_min,1083.2629940000006,adaptive_greedy,145,16,stress,q4_conservative
True,735.2862066875,11764.579307,802.6028354375,12841.645367,edge__adversarial-positive__56,edge__adversarial-positive,1077.0660599999992,insertion_greedy,56,16,ordinary,q4_active
True,845.042002375,13520.672038,912.10105075,14593.616812,boundary_outward_min__n16__negative,boundary_outward_min,1072.9447739999996,immune,146,16,stress,q4_active
True,1024.5013775,10245.013775,1130.7726796000002,11307.726796,boundary_outward_min__n10__positive,boundary_outward_min,1062.7130210000014,fireworks,142,10,stress,q4_active
True,1272.5312241,12725.312241,1378.0224409,13780.224409,boundary_outward_min__n10__spatial,boundary_outward_min,1054.9121680000007,immune,144,10,stress,q4_active
True,1354.4466429,13544.466429,1459.6549251000001,14596.549251,boundary_outward_min__n10__negative,boundary_outward_min,1052.0828220000003,immune,143,10,stress,q4_active
True,968.3237845833333,11619.885415,1055.17424975,12662.090997,uniform__smooth__52,uniform__smooth,1042.2055819999987,insertion_greedy,52,12,ordinary,q4_conservative
True,686.8346643125,10989.354629,751.744934,12027.918944,uniform__adversarial-spatial__56,uniform__adversarial-spatial,1038.5643149999996,adaptive_two_opt,56,16,ordinary,q4_active
True,967.6346342727272,10643.980977,1059.3344242727273,11652.678667,clustered__adversarial-positive__54,clustered__adversarial-positive,1008.6976900000009,iterated_search,54,11,ordinary,q4_active
True,1121.9104037,11219.104037,1222.4505103,12224.505103,edge__adversarial-positive__55,edge__adversarial-positive,1005.4010660000004,ant_colony,55,10,ordinary,q4_active
True,536.1344056875,8578.150491,598.943367125,9583.093874,uniform__iid__56,uniform__iid,1004.9433829999998,insertion_greedy,56,16,ordinary,q3_active
True,1084.2027122727272,11926.229835,1174.6923576363636,12921.615934,edge__adversarial-spatial__54,edge__adversarial-spatial,995.3860989999994,adaptive_two_opt,54,11,ordinary,q4_conservative
True,653.3122478125,10452.995965,715.1825869375,11442.921391,uniform__adversarial-negative__56,uniform__adversarial-negative,989.9254259999998,insertion_greedy,56,16,ordinary,q4_active
