active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
4,0,True,0,0,0,0,0,uniform__iid__135,uniform__iid,9,2,16,15,129,1.0,,,base,0,0.02759899999999993,15,,6,7,False,,,,,False,,,,,,,,,0,0,7.216696394607425e-05,,22,0,,,111,range_area7,[],13725.046524475843,0,64.36673099874615,0.0,9,,,232.00062033333333,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,1.0,10,,12,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,102,3480.009305,,,True,0.027707999979611486
4,0,True,0,0,0,0,0,uniform__iid__135,uniform__iid,9,2,16,15,129,1.0,,,base,0,0.027981000000000034,15,,6,7,False,,2,0,2,False,,,,,,,,,0,0,8.708296809345484e-05,,22,0,,,111,faithful_area7,[],13725.046524475843,0,64.36673099874615,0.0,9,,,232.00062033333333,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,1.0,10,,12,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,102,3480.009305,,,True,0.028014791023451835
24,0,True,,,,,,uniform__iid__136,uniform__iid,14,,14,14,137,,,,,,0.1975819999999997,14,,,,,,,,,,,,,,,,,,0,,6.454199319705367e-05,,,,,,121,peer_layout9_proxy,[],20232.651904366354,0,,0.0,,,,344.89502728571426,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,107,4828.530382,,,,0.19770808395696804
5,0,True,0,0,0,0,0,uniform__iid__136,uniform__iid,5,,15,14,161,1.0,,,,,0.027088999999999697,14,,9,10,False,,,,,,,,,,,,,,0,,7.208297029137611e-05,,21,0,,,144,area_return1_7,[],12130.442024274937,0,24.833813464039423,0.0,5,,,239.43488607142856,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,,35,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,133,3352.088405,,,True,0.02710750000551343
5,0,True,0,0,0,0,0,uniform__iid__136,uniform__iid,5,5,15,14,156,1.0,,,base,0,0.02674500000000002,14,,9,10,False,,,,,False,,,,,,,,,0,0,7.06670107319951e-05,,21,0,,,139,range_area7,[],12130.442024274937,0,24.833813464039423,0.0,5,,,237.29202892857143,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,1.0,35,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,128,3322.088405,,,True,0.026767583040054888
5,0,True,0,0,0,0,0,uniform__iid__136,uniform__iid,5,5,15,14,156,1.0,,,base,0,0.027117000000000058,14,,9,10,False,,5,0,5,False,,,,,,,,,0,0,7.116701453924179e-05,,21,0,,,139,faithful_area7,[],12130.442024274937,0,24.833813464039423,0.0,5,,,237.29202892857143,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,1.0,35,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,128,3322.088405,,,True,0.02715495799202472
19,0,True,,,,,,uniform__smooth__127,uniform__smooth,10,,10,10,159,,,,,,0.1623509999999997,10,,,,,,,,,,,,,,,,,,0,,6.533303530886769e-05,,,,,,147,peer_layout9_proxy,[],15047.397517260582,0,,0.0,,,,392.7479504,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,133,3927.479504,,,,0.16335120797157288
11,0,True,0,0,0,0,0,uniform__smooth__127,uniform__smooth,7,,13,10,141,1.0,,,,,0.022704000000000057,10,,3,6,False,,,,,,,,,,,,,,0,,6.96660135872662e-05,,17,0,,,126,area_return1_7,[],11508.24787289565,0,51.09498677965577,0.0,7,,,310.6649574,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,6,,5,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3106.649574,,,True,0.02271974994800985
11,0,True,0,0,0,0,0,uniform__smooth__127,uniform__smooth,7,3,13,10,138,1.0,,,base,0,0.022518999999999956,10,,3,6,False,,,,,False,,,,,,,,,0,0,6.616697646677494e-05,,17,0,,,123,range_area7,[],11508.24787289565,0,51.09498677965577,0.0,7,,,308.8649574,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,6,,5,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3088.649574,,,True,0.02252033300464973
11,0,True,0,0,0,0,0,uniform__smooth__127,uniform__smooth,7,0,13,10,141,1.0,,,base,0,0.022832000000000185,10,,3,6,False,,0,3,0,False,,,,,,,,,0,0,7.099995855242014e-05,,17,0,,,126,faithful_area7,[],11508.24787289565,0,51.09498677965577,0.0,7,,,310.6649574,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,6,,5,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3106.649574,,,True,0.0228636660031043
26,0,True,,,,,,uniform__smooth__128,uniform__smooth,16,,16,16,121,,,,,,0.2059169999999999,16,,,,,,,,,,,,,,,,,,0,,0.00014712504344061017,,,,,,103,peer_layout9_proxy,[],19965.24032350815,0,,0.0,,,,292.3155040625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,,,,,,16,ordinary,8,public_upper_bound_16,89,4677.048065,,,,0.20604308397741988
6,0,True,0,0,0,0,0,uniform__smooth__128,uniform__smooth,8,,19,16,137,1.0,,,,,0.030603000000000158,16,,8,11,False,,,,,,,,,,,,,,0,,8.366699330508709e-05,,21,2,,,116,area_return1_7,[],12974.751880596614,0,55.30059260688505,0.0,8,,,210.8093985,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,34,,1,,,16,ordinary,5,public_upper_bound_16,109,3372.950376,,,True,0.030657917028293014
