active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__124,uniform__iid,5,0,13,12,147,1.0,,,base,0,0.02226499999999998,12,,7,8,False,,False,,0,0,6.987503729760647e-05,,19,0,,,132,range_area7,[],10321.803225453948,,,,,0,38.38987258651396,0.0,5,,,242.53005383333334,"[1, 2, 3, 5, 6, 7, 13, 14, 16, 18, 19, 20]",,3,124,1.0,24,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,123,2910.360646,,,True,0.022272667032666504
7,0,True,0,0,0,0,0,uniform__iid__124,uniform__iid,6,6,13,12,127,1.0,,,locked,19,0.023128999999999955,12,cached_distance_prefix_sum,6,7,False,,True,,0,0,6.7290966399014e-05,,0,0,,,112,fast_locked_area7,[],10899.571612009973,,,,,0,51.105277964447275,0.0,6,,,242.07619358333332,"[1, 2, 3, 5, 6, 7, 13, 14, 16, 18, 19, 20]",,3,124,1.0,10,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,102,2904.914323,,,True,0.02312804094981402
18,0,True,,,,,,uniform__iid__125,uniform__iid,11,,11,11,150,,,,,,0.14171900000000015,11,,,,,,,,0,,6.095797289162874e-05,,,,,,137,peer_layout9_proxy,[],19228.19943225237,,,,,0,,0.0,,,,428.42180781818183,"[1, 2, 5, 6, 8, 10, 11, 12, 15, 16, 19]",,3,125,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,,127,4712.639886,,,,0.14178916695527732
5,0,True,0,0,0,0,0,uniform__iid__125,uniform__iid,4,,11,11,140,1.0,,,,,0.022376999999999647,11,,7,7,False,,,,0,,5.629099905490875e-05,,18,0,,,127,area_return1_7,[],11228.065516226634,,,,,0,39.81923222967207,0.0,4,,,277.9648276363636,"[1, 2, 5, 6, 8, 10, 11, 12, 15, 16, 19]",,3,125,,18,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,122,3057.613104,,,True,0.022412499994970858
5,0,True,0,0,0,0,0,uniform__iid__125,uniform__iid,4,5,11,11,135,1.0,,,base,0,0.022123000000000115,11,,7,7,False,,False,,0,0,6.279197987169027e-05,,18,0,,,122,range_area7,[],11228.065516226634,,,,,0,39.81923222967207,0.0,4,,,275.23755490909093,"[1, 2, 5, 6, 8, 10, 11, 12, 15, 16, 19]",,3,125,1.0,18,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,117,3027.613104,,,True,0.022139459033496678
4,0,True,0,0,0,0,0,uniform__iid__125,uniform__iid,3,0,11,11,149,1.0,,,locked,18,0.019743000000000066,11,cached_distance_prefix_sum,8,8,False,,True,,0,0,6.912497337907553e-05,,0,0,,,136,fast_locked_area7,[],10801.08701482445,,,,,0,32.29313848956332,0.0,3,,,274.65612745454547,"[1, 2, 5, 6, 8, 10, 11, 12, 15, 16, 19]",,3,125,1.0,19,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,126,3021.217402,,,True,0.019748915976379067
24,0,True,,,,,,uniform__iid__126,uniform__iid,14,,14,14,137,,,,,,0.19340599999999997,14,,,,,,,,0,,7.045897655189037e-05,,,,,,121,peer_layout9_proxy,[],23712.485326545644,,,,,0,,0.0,,,,394.46407621428574,"[2, 3, 4, 6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20]",,3,126,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,,105,5522.497067,,,,0.1936349580064416
11,0,True,0,0,0,0,0,uniform__iid__126,uniform__iid,10,,16,14,149,1.0,,,,,0.028278000000000247,14,,4,6,False,,,,0,,7.016700692474842e-05,,21,0,,,131,area_return1_7,[],13745.0606167126,,,,,0,84.59791437168343,0.0,10,,,256.7151517142857,"[2, 3, 4, 6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20]",,3,126,,27,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,114,3594.012124,,,True,0.02828783297445625
11,0,True,0,0,0,0,0,uniform__iid__126,uniform__iid,10,1,16,14,148,1.0,,,base,0,0.027805999999999997,14,,4,6,False,,False,,0,0,6.887497147545218e-05,,21,0,,,130,range_area7,[],13745.0606167126,,,,,0,84.59791437168343,0.0,10,,,256.28658028571425,"[2, 3, 4, 6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20]",,3,126,1.0,27,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3588.012124,,,True,0.027831665996927768
4,0,True,0,0,0,0,0,uniform__iid__126,uniform__iid,8,3,14,14,130,1.0,,,locked,21,0.024403999999999648,14,cached_distance_prefix_sum,6,6,False,,True,,0,0,7.137499051168561e-05,,0,0,,,114,fast_locked_area7,[],12832.790147906026,,,,,0,48.350812049567764,0.0,8,,,236.53985942857142,"[2, 3, 4, 6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20]",,3,126,1.0,11,,2,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,105,3311.558032,,,True,0.024404167023021728
