active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,1,1,12,10,128,1.0,,,base,0,0.018963000000000063,0,10,,2,4,False,,1,0,1,False,,0,0,,17,0,4,,,114,lean_deferred_area7,10,,[],11145.28580040564,0,50.5213170450714,0.0,8,,,0,296.4057159,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,,,67,1.0,6,,9,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,109,2964.057159,,,True,0.01899445801973343
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,1,1,12,10,128,1.0,,,base,0,0.018961000000000006,0,10,,2,4,False,,1,0,1,False,,0,0,,17,0,4,,,114,count_deferred_area7,10,10,[],11145.28580040564,0,50.5213170450714,0.0,8,,,0,296.4057159,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,0,0,67,1.0,6,,9,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,109,2964.057159,,,True,0.01899316703202203
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,0,0,22,15,157,1.0,,,base,0,0.031212999999999935,0,15,,4,11,False,,0,0,0,False,,0,0,,22,0,4,,,133,lean_deferred_area7,5,,[],11311.566864547774,0,89.91461847037544,0.0,11,,,0,209.88755826666664,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,,,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3148.313374,,,True,0.03125674999319017
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,0,0,22,15,157,1.0,,,base,0,0.031477999999999895,0,15,,4,11,False,,0,0,0,False,,0,0,,22,0,4,,,133,count_deferred_area7,5,5,[],11311.566864547774,0,89.91461847037544,0.0,11,,,0,209.88755826666664,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,0,0,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3148.313374,,,True,0.0314867080305703
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,2,2,19,15,139,1.0,,,base,0,0.02972100000000011,0,15,,6,10,False,,2,0,2,False,,0,0,,22,0,4,,,118,lean_deferred_area7,5,,[],12859.410494502135,0,83.41194961814898,0.0,9,,,0,223.7921398,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,,,69,1.0,23,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3356.882097,,,True,0.029731166956480592
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,2,2,19,15,139,1.0,,,base,0,0.02956499999999984,0,15,,6,10,False,,2,0,2,False,,0,0,,22,0,4,,,118,count_deferred_area7,5,5,[],12859.410494502135,0,83.41194961814898,0.0,9,,,0,223.7921398,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,0,0,69,1.0,23,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3356.882097,,,True,0.02957237500231713
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,1,1,11,10,138,1.0,,,base,0,0.019613000000000103,0,10,,3,4,False,,1,0,1,False,,0,0,,17,0,4,,,125,lean_deferred_area7,10,,[],11151.369987015993,0,43.860243093504366,0.0,7,,,0,302.7273994,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,,,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3027.273994,,,True,0.019631000002846122
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,1,1,11,10,138,1.0,,,base,0,0.020172999999999996,0,10,,3,4,False,,1,0,1,False,,0,0,,17,0,4,,,125,count_deferred_area7,10,10,[],11151.369987015993,0,43.860243093504366,0.0,7,,,0,302.7273994,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,0,0,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3027.273994,,,True,0.020195083983708173
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,0,0,14,12,136,1.0,,,base,0,0.02542600000000017,0,12,,3,5,False,,0,0,0,False,,0,0,,19,0,4,,,120,lean_deferred_area7,8,,[],11408.921013664041,0,52.519745855040824,0.0,9,,,0,254.64868366666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,,,71,1.0,24,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3055.784204,,,True,0.025441792036872357
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,0,0,14,12,136,1.0,,,base,0,0.025418000000000163,0,12,,3,5,False,,0,0,0,False,,0,0,,19,0,4,,,120,count_deferred_area7,8,8,[],11408.921013664041,0,52.519745855040824,0.0,9,,,0,254.64868366666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,0,0,71,1.0,24,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3055.784204,,,True,0.0254344170098193
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,8,3,3,13,10,134,1.0,,,base,0,0.02163599999999999,1,10,,2,5,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,,[],12701.340476515094,0,65.96383839690539,0.0,8,,,0,330.7268094,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,,,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3307.268094,,,True,0.021658292040228844
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,8,3,3,13,10,134,1.0,,,base,0,0.02407300000000001,1,10,,2,5,False,,3,0,2,False,,0,0,,17,0,4,,,119,count_deferred_area7,10,10,[],12701.340476515094,0,65.96383839690539,0.0,8,,,0,330.7268094,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,0,0,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3307.268094,,,True,0.02444200002355501
13,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,14,4,4,22,15,159,1.0,,,base,0,0.03382700000000005,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,135,lean_deferred_area7,5,,[],12617.62105305865,0,148.4007863913149,0.0,14,,,0,227.90161393333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,,,68,1.0,35,,2,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3418.524209,,,True,0.03386125003453344
